,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
472,"GOOD CAR IN SPACE, INFOTAINMENT SYSTEM, HEAD TURNING DESIGN, TURBOCHARGED ENGINE.","Jun 29, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/its-a-human-thing-69115.htm
473,Just the functional system of the car is awesome. I just wanna have MG Hector because of premium look and features.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/the-first-budget-range-car-69110.htm
474,"The best at all the Segment but, need some noise destruction come inside the car. Only need that change.","Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-car-69107.htm
475,Mg hector is the best car I have ever seen it is better than all the same price car and costly car.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-the-best-car-of-india-69090.htm
476,"LOVE, at First Sight, you feel the strength as soon as you touch the door Sturdy+Safe+Smooth+Super Mileage, Spontaneous Pickup, Super Comfort As of now, don't feel any regret for Service for 1 year","Jun 29, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/love-at-first-sight-69062.htm
477,Best in class Best personal driving experience New tech car Fully automatic New features Price satisfaction Too good best car in India in 2019.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-review-69053.htm
478,MG Hector is the best in class and the AI will increase the user interface.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/the-ai-is-the-key-feature-69054.htm
479,This was an amusing car and the features are so excellent newly introduced in this car like magic. I never seen before such wonderful things and the boot space is very huge sunroof also profiles the rich SUV better than other SUV's back side space is very large driver seats are also comfortable automatically voice command is a new magician.,"Jun 28, 2019",3,NA,https://www.cardekho.com/user-review/mg-hector/my-wonder-dream-car-68968.htm
480,"MG Hector is a perfect car for the young generation and safety features are also good but personaly I didn't like it from the rear and side profile. Other than that it is a good car and in comparison to harrier, interior built quality is also good. I would like to take a test drive to check its driving experience.","Jun 29, 2019",3,NA,https://www.cardekho.com/user-review/mg-hector/technical-car-69042.htm
481,"Aged so well, with fantastic road presence still, just adequate proportions accommodating 7 seats and all the bells and whistles, I doubt any other mid-sized SUV can beat XUV5OO. As the initial fuzz dies just as in case of Jeep Compass, and the Chinese quality begins crying hoarse, XUV would still rule the roost.","Jun 29, 2019",1,NA,https://www.cardekho.com/user-review/mg-hector/is-xuv5oo-with-better-interiors-beatable-69005.htm
482,"Love the looks, love the features of MG Hector. The most attractive feature of the car is the voice command and the big screen. Great looks, advanced technology, and a muscular car at a reasonable cost. People searching for a big car with luxurious looks, in the budget then this is the one. I loved the car very much.","Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/get-more-in-less-68975.htm
483,"MG Hector : Great features, Spacious, muscular and a luxurious car at a reasonable cost. Voice command and a large Display are the most attractive part. Surely MG Hector will beat other cars in the same segment. Bigger size, advanced features, great look, reasonable price are the reasons which make it a must buy.","Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/get-more-in-less-68974.htm
484,"All new technology introduced in MG Hector car and it has more to express, superb driving experience and power composition makes it the king of the road, features are fully advanced.","Jun 29, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/best-car-under-this-price-segment-69028.htm
485,Superb..design elegant concept..with voice aasistant..with sunroof..and LED concept is also good.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/parking-sensor-69013.htm
486,Very good car from a renowned company. I would definitely like more from the company.,"Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/great-suv-suitable-for-indian-roads-69010.htm
487,"Nice car, it's good to know that mg is bringing new technology in the form of Android, and by doing this it brings our car close to us.","Jun 29, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/a-must-buy-hatchback-69024.htm
488,This is a good car. The looks are awesome. It is worth the value. ,"Jun 29, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/a-good-car-69016.htm
489,Beautiful and a must buy the car. All in one. The car has all the latest features with style and bold looks. Must buy for an SUV lover.,"Jun 28, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/master-of-suv-68965.htm
